Date/Time,Step Count (count),Source
2022-04-16 00:00:00,1188,Zebra|iPhone
2022-04-17 00:00:00,1612,Zebra|iPhone
2022-04-18 00:00:00,573,Zebra|iPhone
2022-04-19 00:00:00,1157,Zebra|iPhone
2022-04-20 00:00:00,1636,Zebra|iPhone
2022-04-21 00:00:00,2476,Zebra|iPhone
2022-04-22 00:00:00,10609,Zebra|iPhone
2022-04-23 00:00:00,5347,Zebra|iPhone
2022-04-24 00:00:00,1903,Zebra|iPhone
2022-04-25 00:00:00,3166,Zebra|iPhone
2022-04-26 00:00:00,2836,Zebra|iPhone
2022-04-27 00:00:00,4689,Zebra|iPhone
2022-04-28 00:00:00,1321,Zebra|iPhone
2022-04-29 00:00:00,2814,Zebra|iPhone
2022-04-30 00:00:00,2083,Zebra|iPhone
2022-05-01 00:00:00,1985,Zebra|iPhone
2022-05-02 00:00:00,604,Zebra|iPhone
2022-05-03 00:00:00,827,Zebra|iPhone
2022-05-04 00:00:00,877,Zebra|iPhone
2022-05-05 00:00:00,4081,Zebra|iPhone
2022-05-06 00:00:00,920,Zebra|iPhone
2022-05-07 00:00:00,1006,Zebra|iPhone
2022-05-08 00:00:00,4232,Zebra|iPhone
2022-05-09 00:00:00,2618,Zebra|iPhone
2022-05-10 00:00:00,1126,Zebra|iPhone
2022-05-11 00:00:00,1605,Zebra|iPhone
2022-05-12 00:00:00,1001,Zebra|iPhone
2022-05-13 00:00:00,1264,Zebra|iPhone
2022-05-14 00:00:00,612,Zebra|iPhone
2022-05-15 00:00:00,1978,Zebra|iPhone
2022-05-16 00:00:00,920,Zebra|iPhone
2022-05-17 00:00:00,875,Zebra|iPhone
2022-05-18 00:00:00,3034,Zebra|iPhone
2022-05-19 00:00:00,1515,Zebra|iPhone
2022-05-20 00:00:00,2098,Zebra|iPhone
2022-05-21 00:00:00,1245,Zebra|iPhone
2022-05-22 00:00:00,1263,Zebra|iPhone
2022-05-23 00:00:00,1282,Zebra|iPhone
2022-05-24 00:00:00,6464,Zebra|iPhone
2022-05-25 00:00:00,1378,Zebra|iPhone
2022-05-26 00:00:00,1485,Zebra|iPhone
2022-05-27 00:00:00,4832,Zebra|iPhone
2022-05-28 00:00:00,3913,Zebra|iPhone
