Date/Time,Step Count (count),Source
2020-10-28 00:00:00,2125,Veronica's iPhone (2)
2020-10-29 00:00:00,2910,Veronica's iPhone (2)
2020-10-30 00:00:00,2234,Veronica's iPhone (2)
2020-10-31 00:00:00,9342,Veronica's iPhone (2)
2020-11-01 00:00:00,6482,Veronica's iPhone (2)
2020-11-02 00:00:00,1866,Veronica's iPhone (2)
2020-11-03 00:00:00,11,Veronica's iPhone (2)
2020-11-04 00:00:00,24,Veronica's iPhone (2)
2020-11-05 00:00:00,2189,Veronica's iPhone (2)
2020-11-06 00:00:00,3752,Veronica's iPhone (2)
2020-11-07 00:00:00,5785,Veronica's iPhone (2)
2020-11-08 00:00:00,1756,Veronica's iPhone (2)
2020-11-09 00:00:00,4487,Veronica's iPhone (2)
2020-11-10 00:00:00,3559,Veronica's iPhone (2)
2020-11-11 00:00:00,333,Veronica's iPhone (2)
2020-11-12 00:00:00,1398,Veronica's iPhone (2)
2020-11-13 00:00:00,3448,Veronica's iPhone (2)
2020-11-14 00:00:00,1965,Veronica's iPhone (2)
2020-11-15 00:00:00,4079,Veronica's iPhone (2)
2020-11-16 00:00:00,4126,Veronica's iPhone (2)
2020-11-17 00:00:00,537,Veronica's iPhone (2)
2020-11-18 00:00:00,2303,Veronica's iPhone (2)
2020-11-19 00:00:00,1442,Veronica's iPhone (2)
2020-11-20 00:00:00,3291,Veronica's iPhone (2)
2020-11-21 00:00:00,3064,Veronica's iPhone (2)
2020-11-22 00:00:00,2721,Veronica's iPhone (2)
2020-11-23 00:00:00,2242,Veronica's iPhone (2)
2020-11-24 00:00:00,130,Veronica's iPhone (2)
2020-11-25 00:00:00,5844,Veronica's iPhone (2)
2020-11-26 00:00:00,3324,Veronica's iPhone (2)
2020-11-27 00:00:00,4132,Veronica's iPhone (2)
2020-11-28 00:00:00,1598,Veronica's iPhone (2)
2020-11-29 00:00:00,2781,Veronica's iPhone (2)
2020-12-01 00:00:00,2071,Veronica's iPhone (2)
2020-12-02 00:00:00,9,Veronica's iPhone (2)
2020-12-03 00:00:00,1744,Veronica's iPhone (2)
2020-12-04 00:00:00,3278,Veronica's iPhone (2)
2020-12-05 00:00:00,2569,Veronica's iPhone (2)
2020-12-06 00:00:00,3569,Veronica's iPhone (2)
2020-12-07 00:00:00,1226,Veronica's iPhone (2)
2020-12-08 00:00:00,2057,Veronica's iPhone (2)
2020-12-09 00:00:00,3216,Veronica's iPhone (2)
2020-12-10 00:00:00,277,Veronica's iPhone (2)
2020-12-11 00:00:00,3171,Veronica's iPhone (2)
2020-12-12 00:00:00,3156,Veronica's iPhone (2)
2020-12-13 00:00:00,353,Veronica's iPhone (2)
2020-12-14 00:00:00,2032,Veronica's iPhone (2)
2020-12-15 00:00:00,228,Veronica's iPhone (2)
2020-12-16 00:00:00,63,Veronica's iPhone (2)
2020-12-17 00:00:00,3131,Veronica's iPhone (2)
2020-12-18 00:00:00,8126,Veronica's iPhone (2)
2020-12-19 00:00:00,3287,Veronica's iPhone (2)
2020-12-20 00:00:00,3575,Veronica's iPhone (2)
2020-12-21 00:00:00,4594,Veronica's iPhone (2)
2020-12-22 00:00:00,5112,Veronica's iPhone (2)
2020-12-23 00:00:00,1534,Veronica's iPhone (2)
2020-12-24 00:00:00,299,Veronica's iPhone (2)
2020-12-25 00:00:00,584,Veronica's iPhone (2)
2020-12-26 00:00:00,3228,Veronica's iPhone (2)
2020-12-27 00:00:00,2861,Veronica's iPhone (2)
2020-12-28 00:00:00,3014,Veronica's iPhone (2)
2020-12-29 00:00:00,4568,Veronica's iPhone (2)
2020-12-30 00:00:00,3965,Veronica's iPhone (2)
2020-12-31 00:00:00,1870,Veronica's iPhone (2)
2021-01-01 00:00:00,4153,Veronica's iPhone (2)
2021-01-02 00:00:00,2098,Veronica's iPhone (2)
2021-01-03 00:00:00,874,Veronica's iPhone (2)
2021-01-04 00:00:00,66,Veronica's iPhone (2)
2021-01-05 00:00:00,4107,Veronica's iPhone (2)
2021-01-06 00:00:00,18,Veronica's iPhone (2)
2021-01-07 00:00:00,4119,Veronica's iPhone (2)
2021-01-08 00:00:00,4313,Veronica's iPhone (2)
2021-01-09 00:00:00,255,Veronica's iPhone (2)
2021-01-10 00:00:00,11050,Veronica's iPhone (2)
2021-01-11 00:00:00,176,Veronica's iPhone (2)
2021-01-12 00:00:00,6614,Veronica's iPhone (2)
2021-01-13 00:00:00,2490,Veronica's iPhone (2)
2021-01-14 00:00:00,6110,Veronica's iPhone (2)
2021-01-15 00:00:00,1119,Veronica's iPhone (2)
2021-01-16 00:00:00,10489,Veronica's iPhone (2)
2021-01-17 00:00:00,611,Veronica's iPhone (2)
2021-01-18 00:00:00,6949,Veronica's iPhone (2)
2021-01-19 00:00:00,2075,Veronica's iPhone (2)
2021-01-20 00:00:00,140,Veronica's iPhone (2)
2021-01-21 00:00:00,2251,Veronica's iPhone (2)
2021-01-22 00:00:00,3093,Veronica's iPhone (2)
2021-01-23 00:00:00,1646,Veronica's iPhone (2)
2021-01-24 00:00:00,4414,Veronica's iPhone (2)
2021-01-25 00:00:00,11,Veronica's iPhone (2)
2021-01-26 00:00:00,3409,Veronica's iPhone (2)
2021-01-27 00:00:00,2699,Veronica's iPhone (2)
2021-01-28 00:00:00,1843,Veronica's iPhone (2)
